prediction_id,feedback_timestamp,step,type,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,isFlaggedFraud,customer_email,prediction,predicted_label,fraud_probability,threshold,model_name,user_feedback,ground_truth_label,feedback_notes
realistic-prod-0001,2026-03-25T17:43:58.064806+00:00,668,CASH_OUT,1576531.53,1576531.53,0.0,0.0,1576531.53,0,cashout.client0001@bankmail.com,1,fraud,0.9480868245893742,0.5,random_forest,reported_fraud,1,Customer confirmed this transaction as fraud after investigation.
realistic-prod-0002,2026-03-25T23:43:58.064806+00:00,164,TRANSFER,66858.05,57853.6,0.0,1309468.57,1376326.62,0,transfer.client0002@bankmail.com,0,not_fraud,0.1816696614337652,0.5,random_forest,confirmed_legit,0,Customer confirmed this transaction as legitimate.
realistic-prod-0003,2026-03-26T05:43:58.064806+00:00,21,CASH_OUT,79582.07,80993.74,1411.67,2786772.31,2866354.38,0,cashout.client0003@bankmail.com,0,not_fraud,0.1970371740655687,0.5,random_forest,confirmed_legit,0,Customer confirmed this transaction as legitimate.
realistic-prod-0004,2026-03-26T11:43:58.064806+00:00,360,DEBIT,2250.97,569.0,0.0,2342944.79,2345195.77,0,debit.client0004@bankmail.com,0,not_fraud,0.02346551331392,0.5,random_forest,confirmed_legit,0,Customer confirmed this transaction as legitimate.
realistic-prod-0005,2026-03-26T17:43:58.064806+00:00,164,CASH_OUT,431281.21,0.0,0.0,831161.89,1262443.1,0,cashout.client0005@bankmail.com,0,not_fraud,0.0107742496983584,0.5,random_forest,confirmed_legit,0,Customer confirmed this transaction as legitimate.
realistic-prod-0006,2026-03-26T23:43:58.064806+00:00,536,CASH_OUT,285382.07,285382.07,0.0,0.0,285382.07,0,cashout.client0006@bankmail.com,0,not_fraud,0.4261480010667802,0.5,random_forest,reported_fraud,1,Missed fraud scenario recovered by customer feedback.
realistic-prod-0007,2026-03-27T05:43:58.064806+00:00,297,TRANSFER,569910.04,0.0,0.0,625698.29,1195608.32,0,transfer.client0007@bankmail.com,0,not_fraud,0.0078859304524952,0.5,random_forest,confirmed_legit,0,Customer confirmed this transaction as legitimate.
realistic-prod-0008,2026-03-27T11:43:58.064806+00:00,20,CASH_OUT,52053.67,450915.36,398861.69,80545.26,132598.93,0,cashout.client0008@bankmail.com,0,not_fraud,0.0341921683885955,0.5,random_forest,confirmed_legit,0,Customer confirmed this transaction as legitimate.
realistic-prod-0009,2026-03-27T17:43:58.064806+00:00,348,CASH_OUT,314011.66,92432.0,0.0,86212.06,400223.73,0,cashout.client0009@bankmail.com,0,not_fraud,0.2605737974368244,0.5,random_forest,confirmed_legit,0,Customer confirmed this transaction as legitimate.
realistic-prod-0010,2026-03-27T23:43:58.064806+00:00,36,PAYMENT,19764.36,1515.0,0.0,0.0,0.0,0,payment.client0010@bankmail.com,0,not_fraud,0.0052222669437966,0.5,random_forest,confirmed_legit,0,Customer confirmed this transaction as legitimate.
realistic-prod-0011,2026-03-28T05:43:58.064806+00:00,299,PAYMENT,28.49,0.0,0.0,0.0,0.0,0,payment.client0011@bankmail.com,0,not_fraud,0.0047909386476348,0.5,random_forest,confirmed_legit,0,Customer confirmed this transaction as legitimate.
realistic-prod-0012,2026-03-28T11:43:58.064806+00:00,275,CASH_OUT,152048.32,0.0,0.0,471540.4,623588.72,0,cashout.client0012@bankmail.com,0,not_fraud,0.0063922773855566,0.5,random_forest,confirmed_legit,0,Customer confirmed this transaction as legitimate.
realistic-prod-0013,2026-03-28T17:43:58.064806+00:00,310,TRANSFER,1472442.44,0.0,0.0,3079876.9,4552319.33,0,transfer.client0013@bankmail.com,0,not_fraud,0.0098740613569965,0.5,random_forest,confirmed_legit,0,Customer confirmed this transaction as legitimate.
